gene,loading,n_mean,t_mean,expr_delta,pc1_shift,direction,abs_gap
INPP5A,0.0159631297748743,0.1391834567681868,0.7539772727272727,-0.6147938159590858,-0.0098140334689451,restore_normal,0.6147938159590859
CD5,0.016365588639408,0.0994106382682654,0.6978001165501165,-0.5983894782818511,-0.0097929960477107,restore_normal,0.5983894782818511
CDC42EP5,-0.0161702360074096,0.6993703912629746,0.0938359557109556,0.6055344355520189,-0.0097916347334897,restore_normal,0.605534435552019
GLUL,0.0161782267441064,0.3627304167812885,0.9679093822843824,-0.6051789655030939,-0.0097907225246728,restore_normal,0.6051789655030939
BRD4,0.0158182604786908,0.3213696612508042,0.939222027972028,-0.6178523667212239,-0.0097733496741719,restore_normal,0.6178523667212239
TTC9B,0.0163317972269651,0.0973693872286403,0.6955900349650349,-0.5982206477363945,-0.0097700183158145,restore_normal,0.5982206477363946
MYLK2,0.0158626801222437,0.164972046528107,0.780530303030303,-0.615558256502196,-0.0097644037195004,restore_normal,0.615558256502196
KLK3,0.01598887097153,0.1773560286481608,0.787840909090909,-0.6104848804427482,-0.009760963983469,restore_normal,0.6104848804427482
ITSN2,0.015804982712949,0.2407145556077672,0.8579589160839162,-0.617244360476149,-0.0097555364469908,restore_normal,0.617244360476149
SLC35E2,0.0159332612417586,0.303791567610152,0.9144493006993007,-0.6106577330891487,-0.0097297691906095,restore_normal,0.6106577330891487
GTSF1L,0.0162995180924692,0.1072796770820064,0.7035504079254079,-0.5962707308434014,-0.0097189255653919,restore_normal,0.5962707308434015
