gene,r,p,abs_r,novel
SLC22A12,-0.46835502445259936,1.8105004556970675e-30,0.46835502445259936,True
PROZ,-0.46749859503858227,2.383016992961076e-30,0.46749859503858227,True
TRIM9,0.4671602884189215,2.655653580487289e-30,0.4671602884189215,True
CPT2,-0.4669052239868928,2.881412869619143e-30,0.4669052239868928,True
TRIB3,0.46648752311427355,3.2928273775162615e-30,0.46648752311427355,True
CRY2,-0.4660067336421133,3.838736129504502e-30,0.4660067336421133,True
CCDC112,0.4656885743327447,4.248298813067864e-30,0.4656885743327447,True
PLEKHG2,0.46541829115096706,4.629994354417338e-30,0.46541829115096706,True
KIAA1949,0.46541616066289954,4.6331339800529965e-30,0.46541616066289954,True
ACAD8,-0.46527877751329594,4.840102275401955e-30,0.46527877751329594,True
NDUFS2,-0.4649178982837462,5.428371253886767e-30,0.4649178982837462,True
ADORA2B,0.4648486972227413,5.549005186136981e-30,0.4648486972227413,True
TMEM45A,0.46476873090416887,5.6917126022896825e-30,0.46476873090416887,True
TRUB2,-0.4647179794610859,5.7841610846511e-30,0.4647179794610859,True
IL1R2,0.4645734448715231,6.0556649475305345e-30,0.4645734448715231,True
MPZL1,0.46432643332395784,6.549164242023817e-30,0.46432643332395784,True
RAB17,-0.46432637205860505,6.549291449391986e-30,0.46432637205860505,True
GK,-0.464013540183903,7.231773607633193e-30,0.464013540183903,True
ACAA1,-0.4637822676838787,7.781134482844418e-30,0.4637822676838787,True
MIPEP,-0.46375589392221,7.846347862718456e-30,0.46375589392221,True
PREX2,0.4633667617688148,8.873821013721054e-30,0.4633667617688148,True
P4HA3,0.4630850305745139,9.699750789711243e-30,0.4630850305745139,True
PDE10A,0.4629670622769018,1.0067778207065847e-29,0.4629670622769018,True
PABPC4,0.4626522936773266,1.1118765065202645e-29,0.4626522936773266,True
P4HA1,0.46254653377138855,1.1495701412259954e-29,0.46254653377138855,True
NFE2L3,0.46242815986818586,1.1932606045594688e-29,0.46242815986818586,True
ITGB1,0.46193414906517827,1.394035585326221e-29,0.46193414906517827,True
TPM4,0.4613268763169885,1.687120710146098e-29,0.4613268763169885,True
MATN1,0.4607069179640713,2.049171562357891e-29,0.4607069179640713,True
MACROD1,-0.46045062679119353,2.22040475184636e-29,0.46045062679119353,True
C5orf46,0.4603820572056056,2.268569742924808e-29,0.4603820572056056,True
LAMA4,0.4602819366033094,2.340759259348645e-29,0.4602819366033094,True
ALDH2,-0.4598511822301944,2.678165020263866e-29,0.4598511822301944,True
PRR16,0.4595755536766156,2.9188642858393965e-29,0.4595755536766156,True
F11,-0.4594029007464699,3.080414407846667e-29,0.4594029007464699,True
ACOT1,-0.4593722632926926,3.1099919425673834e-29,0.4593722632926926,True
LPPR1,-0.45914471272397717,3.3386422490937494e-29,0.45914471272397717,True
GPD1L,-0.45912513747873596,3.359072014684408e-29,0.45912513747873596,True
SLC16A1,0.4587928246132871,3.7253782228272414e-29,0.4587928246132871,True
VEZT,0.4576629663711606,5.292178922910465e-29,0.4576629663711606,True
PABPC1,0.4576481269440457,5.316590121032638e-29,0.4576481269440457,True
KIF18A,0.4574832213481514,5.595476003857946e-29,0.4574832213481514,True
TMEM72,-0.45748003079319366,5.601012131607757e-29,0.45748003079319366,True
CA9,0.457219356507568,6.072117731728968e-29,0.457219356507568,False
SRPX2,0.45715641685828823,6.191618251289101e-29,0.45715641685828823,True
ALAD,-0.45708632202750865,6.327443868045156e-29,0.45708632202750865,True
BRP44L,-0.45692279082318027,6.655892553053802e-29,0.45692279082318027,True
TMEM87B,0.4568695379075941,6.766447825373102e-29,0.4568695379075941,True
CXCR7,0.4563704817418978,7.894904452264455e-29,0.4563704817418978,True
CAT,-0.45612886333257324,8.506258632800506e-29,0.45612886333257324,True
FAP,0.455716376654818,9.660005428080515e-29,0.455716376654818,False
ADAM19,0.4555117693063085,1.0288444930600474e-28,0.4555117693063085,True
C1orf96,0.45530925272980716,1.0950253441377699e-28,0.45530925272980716,True
